nombre_jugador,pais_nacimiento,pais_donde_juega,posicion,edad,numero_partidos_seleccion,goles_seleccion
Timo Schneider,Alemania,Alemania,Mediocampista ofensivo,38,55,2
Ao Kamada,Japón,Australia,Extremo izquierdo,25,19,12
Raúl Hernández,México,Portugal,Mediocampista defensivo,30,55,12
Bryan Quintero Gruezo,Ecuador,Nigeria,Lateral derecho,33,106,4
Rafael Gomes,Portugal,Portugal,Extremo derecho,31,112,11
Gio Carter,Estados Unidos,Estados Unidos,Extremo izquierdo,34,72,17
Alexis Sánchez García,México,Portugal,Lateral derecho,26,56,8
Matheus Pereira,Brasil,Japón,Defensa central,18,7,0
Kevin Quintero Chávez,Ecuador,Ecuador,Delantero centro,32,74,20
Bruno Silva,Brasil,México,Defensa central,39,118,5
Takefusa Morita,Japón,España,Delantero centro,36,75,7
Lucas Ferreira,Brasil,Ecuador,Lateral izquierdo,36,92,14
Luis Ramírez,México,Inglaterra,Extremo izquierdo,20,11,11
Moussa Gueye,Senegal,Senegal,Lateral derecho,27,31,3
Noah Turner Miller,Estados Unidos,Estados Unidos,Delantero centro,23,36,25
Serge Schmidt,Alemania,Alemania,Mediocampista defensivo,24,33,5
Mason Jones Wright,Inglaterra,Francia,Delantero centro,23,27,22
Christian Johnson Adams,Estados Unidos,Estados Unidos,Arquero,22,31,0
Mateo Fernández Álvarez,Argentina,Brasil,Delantero centro,29,28,12
Ayase Kamada,Japón,Japón,Extremo derecho,19,1,1
Diego López,México,México,Delantero centro,23,30,24
Randal Martin,Francia,España,Extremo izquierdo,34,87,12
Ángel Preciado,Ecuador,México,Defensa central,21,14,2
Connor Grant,Australia,Inglaterra,Lateral derecho,27,36,7
Mike Giroud,Francia,Alemania,Delantero centro,23,13,13
Samuel Balogun,Nigeria,Inglaterra,Delantero centro,34,57,21
Michael Gruezo Cedeño,Ecuador,Ecuador,Lateral derecho,39,104,7
Pape Mané,Senegal,Senegal,Extremo izquierdo,23,7,7
Bruno Pereira,Portugal,Australia,Delantero centro,28,40,13
Serge Koch,Alemania,Alemania,Arquero,19,3,0
Pablo Pérez Ruiz,España,España,Defensa central,36,11,1
Lucas Lima,Brasil,Inglaterra,Delantero centro,32,80,18
Pape Cissé Diop,Senegal,Brasil,Delantero centro,27,29,24
Marcos Martínez Sánchez,España,España,Mediocampista defensivo,30,74,11
Moses Osimhen,Nigeria,Nigeria,Lateral izquierdo,27,28,2
Carlos Quintero,Ecuador,Ecuador,Defensa central,39,42,7
Diego Sánchez,México,México,Mediocampista ofensivo,19,4,4
Ismaïla Ndiaye,Senegal,Australia,Lateral izquierdo,19,15,3
Théo Giroud,Francia,Portugal,Mediocampista defensivo,23,45,1
Leon Weber Fischer,Alemania,Alemania,Lateral izquierdo,23,13,1
Marcus Wilson,Inglaterra,México,Mediocampista defensivo,18,15,2
Jules Petit,Francia,Brasil,Mediocampista defensivo,23,40,7
Florian Fischer,Alemania,Japón,Defensa central,19,18,0
Emiliano Ramírez,México,Brasil,Arquero,37,108,0
Harry Grant Maclaren,Australia,Australia,Extremo derecho,29,32,3
Iker Martínez García,España,Marruecos,Delantero centro,35,27,20
Gonçalo Santos,Portugal,Portugal,Lateral derecho,19,6,0
Cameron Adams,Estados Unidos,Estados Unidos,Delantero centro,37,45,18
Marcos García,España,Senegal,Arquero,31,59,0
Julian Koch,Alemania,Francia,Extremo derecho,21,23,6
Bilal En-Nesyri,Marruecos,Senegal,Defensa central,31,94,7
Julián Romero,Argentina,Ecuador,Defensa central,23,21,4
Amine Bono,Marruecos,Marruecos,Delantero centro,28,54,7
Cheikhou Gueye,Senegal,Senegal,Extremo izquierdo,26,66,7
João Neves,Portugal,Portugal,Mediocampista ofensivo,30,30,10
Brandon Morris,Estados Unidos,Inglaterra,Lateral derecho,24,54,3
Marcus Brown,Inglaterra,Inglaterra,Lateral derecho,31,64,9
Gonçalo Neves,Portugal,Alemania,Extremo derecho,30,58,24
Timothy Turner,Estados Unidos,Estados Unidos,Mediocampista ofensivo,25,18,4
Bryan Cedeño,Ecuador,Francia,Extremo izquierdo,18,3,3
Lucas Souza,Brasil,Brasil,Defensa central,35,25,2
Jordan Reyna,Estados Unidos,Estados Unidos,Defensa central,23,34,6
Christian Morris,Estados Unidos,México,Delantero centro,20,7,7
João Ferreira,Brasil,Brasil,Extremo derecho,24,33,8
Anas Mazraoui El Haddadi,Marruecos,Marruecos,Mediocampista defensivo,18,1,1
Jackson Irvine,Australia,Australia,Lateral derecho,26,54,5
Dixon Caicedo,Ecuador,Estados Unidos,Arquero,35,78,0
Luis Quintero,Ecuador,Estados Unidos,Delantero centro,29,119,31
César Rodríguez,México,Argentina,Lateral izquierdo,28,52,1
Hugo Pérez,España,Estados Unidos,Delantero centro,23,57,22
Jhon Mina Gruezo,Ecuador,Ecuador,Extremo derecho,26,59,14
Kyle Jones,Inglaterra,Brasil,Mediocampista defensivo,22,27,4
Bryan Arboleda Preciado,Ecuador,México,Arquero,24,46,0
Uriel López,México,Nigeria,Arquero,29,46,0
Jeremy Arboleda,Ecuador,Francia,Defensa central,19,5,2
Raúl Jiménez López,México,Ecuador,Arquero,31,66,0
Olivier Martin,Francia,Francia,Delantero centro,35,115,37
Bilal El Idrissi,Marruecos,Marruecos,Lateral izquierdo,34,68,8
Héctor Jiménez,México,Francia,Arquero,29,35,0
Mehdi Bono,Marruecos,Marruecos,Defensa central,36,63,9
Cristiano Oliveira,Portugal,Nigeria,Lateral derecho,18,9,0
Harry Ryan,Australia,Japón,Arquero,36,38,0
Carlos Martínez,España,Brasil,Lateral izquierdo,31,41,7
Taiwo Onyeka,Nigeria,Nigeria,Mediocampista defensivo,25,36,2
Rúben Gomes,Portugal,Inglaterra,Mediocampista defensivo,22,3,2
Sergio Martínez,España,Portugal,Delantero centro,33,42,20
Moses Onyeka,Nigeria,Nigeria,Defensa central,36,120,5
Gabriel Almeida,Brasil,Brasil,Delantero centro,31,57,40
Nuno Santos,Portugal,Portugal,Mediocampista defensivo,39,46,5
Takumi Ito Endo,Japón,España,Mediocampista defensivo,23,24,3
Ethan Miller,Estados Unidos,España,Defensa central,21,15,3
Andrés Caicedo,Ecuador,Francia,Defensa central,32,57,4
James Taylor,Inglaterra,Inglaterra,Delantero centro,27,36,13
Mason Wright,Inglaterra,Nigeria,Arquero,28,65,0
Iker Rodríguez,España,Inglaterra,Mediocampista defensivo,22,14,3
Declan Smith,Inglaterra,Inglaterra,Lateral izquierdo,23,44,4
Phil Green,Inglaterra,España,Arquero,26,38,0
Adrien Fofana,Francia,Inglaterra,Delantero centro,25,23,10
Carlos Alonso Ruiz,España,España,Mediocampista defensivo,29,26,3
Connor Maclaren,Australia,Australia,Mediocampista defensivo,33,36,8
Kelechi Adebayo,Nigeria,Nigeria,Lateral izquierdo,28,43,7
Blake Maclaren,Australia,Australia,Lateral izquierdo,32,87,9
Mitchell Irvine,Australia,Australia,Lateral izquierdo,18,16,3
Thiago Acuña Martínez,Argentina,Argentina,Lateral derecho,29,90,8
Héctor Ramírez,México,México,Delantero centro,28,11,3
Pablo Alonso Martínez,España,Inglaterra,Extremo derecho,30,80,6
Randal Petit Giroud,Francia,México,Delantero centro,34,104,27
Ismaïla Diallo,Senegal,Senegal,Lateral derecho,23,30,3
Mateo Fernández,Argentina,Inglaterra,Delantero centro,23,45,18
Bernardo Santos,Portugal,Estados Unidos,Extremo izquierdo,38,61,12
Moussa Dieng,Senegal,Francia,Extremo derecho,35,60,10
Walker Johnson,Estados Unidos,Argentina,Delantero centro,28,34,14
Carlos López,España,España,Defensa central,34,104,1
Leon Koch,Alemania,Alemania,Delantero centro,25,31,16
Victor Onyeka,Nigeria,Nigeria,Lateral izquierdo,35,89,10
Aiden Rowles,Australia,Australia,Lateral izquierdo,22,16,3
Takumi Suzuki,Japón,España,Extremo derecho,25,59,16
Thiago Álvarez Romero,Argentina,Argentina,Delantero centro,23,19,7
Aaron Duke,Australia,Australia,Defensa central,22,39,3
Shoya Suzuki,Japón,Japón,Mediocampista defensivo,24,55,4
Amine Hakimi,Marruecos,España,Mediocampista ofensivo,35,98,13
Blake Mooy,Australia,Australia,Arquero,23,44,0
Carlos Chávez Jiménez,México,México,Lateral derecho,29,67,10
Danilo Barbosa,Brasil,Brasil,Delantero centro,28,73,24
José Valencia Mina,Ecuador,México,Defensa central,34,36,0
Cheikhou Koulibaly,Senegal,Inglaterra,Extremo derecho,20,12,6
James Wilson,Inglaterra,Inglaterra,Defensa central,29,71,7
Kaoru Suzuki,Japón,Japón,Lateral izquierdo,30,21,1
Kelechi Iheanacho,Nigeria,Alemania,Lateral izquierdo,39,117,12
Hakim El Haddadi,Marruecos,España,Lateral izquierdo,19,10,3
Idrissa Koulibaly,Senegal,Marruecos,Defensa central,33,90,1
Álvaro Torres,España,España,Lateral derecho,33,63,2
Hakim En-Nesyri,Marruecos,Marruecos,Lateral izquierdo,28,49,1
Carlos Valencia,Ecuador,Marruecos,Mediocampista ofensivo,35,51,5
Anas Mazraoui El Idrissi,Marruecos,Senegal,Mediocampista defensivo,30,50,3
Lamine Cissé Fall,Senegal,Nigeria,Arquero,22,48,0
João Costa,Brasil,Brasil,Arquero,20,11,0
Carlos Méndez,Ecuador,Estados Unidos,Lateral izquierdo,30,78,1
Takumi Ito,Japón,Alemania,Mediocampista defensivo,21,27,1
Ayase Yamamoto Tanaka,Japón,Inglaterra,Extremo izquierdo,37,41,9
Hugo Ruiz,España,Inglaterra,Lateral izquierdo,34,83,13
Ahmed Balogun,Nigeria,Nigeria,Extremo izquierdo,19,14,5
Nuno Santos Santos,Portugal,Inglaterra,Arquero,20,23,0
Idrissa Koulibaly Cissé,Senegal,Francia,Delantero centro,38,105,22
Bruno Santos Oliveira,Brasil,Portugal,Defensa central,34,64,3
Takefusa Kamada,Japón,Inglaterra,Lateral izquierdo,25,54,4
Dixon Gruezo Mina,Ecuador,Ecuador,Mediocampista ofensivo,33,119,14
Mathew Duke,Australia,Brasil,Extremo derecho,26,30,9
Hakim Benali,Marruecos,Marruecos,Lateral izquierdo,39,69,2
Carlos Méndez Cedeño,Ecuador,España,Delantero centro,28,58,17
Kaoru Kamada,Japón,Alemania,Mediocampista defensivo,31,31,3
Ismaïla Fall Dieng,Senegal,Senegal,Extremo derecho,28,82,27
Chidera Osimhen,Nigeria,Senegal,Extremo derecho,37,25,10
Amine Mazraoui,Marruecos,Estados Unidos,Mediocampista defensivo,31,78,8
Gio Reyna Johnson,Estados Unidos,Estados Unidos,Extremo derecho,32,103,8
Kalidou Dieng,Senegal,Senegal,Defensa central,22,32,1
Felipe Santos Almeida,Brasil,Alemania,Extremo izquierdo,30,77,14
Nayef Ziyech Saïss,Marruecos,Francia,Lateral izquierdo,28,45,2
Hiroki Kamada Endo,Japón,Australia,Arquero,36,66,0
Aaron Leckie,Australia,Japón,Mediocampista defensivo,22,24,6
Thomas Richter,Alemania,Alemania,Delantero centro,33,68,22
Jack Taylor,Inglaterra,Australia,Delantero centro,20,7,7
Franco Pérez,Argentina,Brasil,Extremo derecho,26,12,7
Cameron Turner,Estados Unidos,Estados Unidos,Lateral izquierdo,27,46,1
Jordy Preciado,Ecuador,Nigeria,Lateral derecho,28,70,0
Lamine Koulibaly,Senegal,Francia,Mediocampista defensivo,27,25,2
Kelechi Nwankwo,Nigeria,España,Mediocampista defensivo,37,86,1
José Gruezo,Ecuador,Ecuador,Extremo derecho,23,11,4
Jack Jones,Inglaterra,Estados Unidos,Delantero centro,22,37,13
Santiago Sánchez,México,México,Delantero centro,28,88,18
Florian Becker Müller,Alemania,Alemania,Lateral derecho,31,58,11
Bruno Oliveira Ferreira,Brasil,Brasil,Defensa central,31,84,2
Leroy Wagner,Alemania,España,Mediocampista ofensivo,36,108,2
Alexis Jiménez,México,México,Defensa central,29,47,1
Mehdi Saïss,Marruecos,España,Extremo derecho,36,64,16
Emiliano Rodríguez,México,México,Lateral derecho,21,24,4
Iker Moreno,España,España,Delantero centro,18,13,8
Matheus Costa,Brasil,Alemania,Mediocampista defensivo,22,27,0
